Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2019/05/08 15:00:00,2019/05/08 16:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,7.1,7.05,µg-m3,,,,A,1
2019/05/08 16:00:00,2019/05/08 17:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.4,8.4,µg-m3,,,,A,1
2019/05/08 17:00:00,2019/05/08 18:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,18.0,18.0,µg-m3,,,,A,1
2019/05/08 18:00:00,2019/05/08 19:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,26.7,26.725,µg-m3,,,,A,1
2019/05/08 19:00:00,2019/05/08 20:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,25.6,25.55,µg-m3,,,,A,1
2019/05/08 20:00:00,2019/05/08 21:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,28.8,28.8,µg-m3,,,,A,1
2019/05/08 21:00:00,2019/05/08 22:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,17.2,17.15,µg-m3,,,,A,1
2019/05/08 22:00:00,2019/05/08 23:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,19.3,19.3,µg-m3,,,,A,1
2019/05/08 23:00:00,2019/05/09 00:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,9.4,9.4,µg-m3,,,,A,1
2019/05/08 00:00:00,2019/05/08 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11026,Halluin stade,Périurbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,14.1,14.125,µg-m3,,,,A,1
